Sample;MAV;RMS;IEMG;ZC;PP
Gesture1CH1;0.0342765726702071;0.0449441641469293;350.99210414292;1340;0.487140747241517
Gesture1CH2;0.0352622971986969;0.046105751595624;361.085923314656;1294;0.443012687048782
Gesture1CH14;0.0700049669171555;0.094175093681501;716.850861231673;1246;1.12071306445957
Gesture2CH1;0.0420802661809613;0.0550478945128358;430.901925693044;1372;0.485891684429722
Gesture2CH2;0.0393117225994315;0.0514522165634121;402.552039418179;1366;0.456382838487034
Gesture2CH14;0.0758948569455812;0.101607270009683;777.163335122752;1387;1.03758235010296
Gesture3CH1;0.0400318406478866;0.0524362073936782;409.926048234359;1297;0.504916086577255
Gesture3CH2;0.0372940293193322;0.0488120951753971;381.890860229961;1352;0.496879637251305
Gesture3CH14;0.0756612821401878;0.09936298594208;774.771529115523;1265;1.04161053916469
Gesture4CH1;0.0400190361390666;0.0526669653413164;409.794930064042;1257;0.500017709594998
Gesture4CH2;0.0365113173187396;0.0477973050363124;373.875889343894;1293;0.451814913346771
Gesture4CH14;0.0667123045389088;0.0880394978919524;683.133998478426;1222;0.940435643567467
Gesture5CH1;0.0498477994606594;0.0648426132973379;510.441466477152;1349;0.53599184513997
Gesture5CH2;0.0655276805572976;0.0845996379814448;671.003448906728;1152;0.718272282166978
Gesture5CH14;0.10716040707783;0.140665055100562;1097.32256847698;1219;1.29000109032615
Gesture6CH1;0.0392294055714232;0.0587175545718421;401.709113051373;1404;0.650026575273993
Gesture6CH2;0.0465419431704104;0.0690095074637829;476.589498065003;1258;0.752389859187496
Gesture6CH14;0.136656044817752;0.215235820966591;1399.35789893378;1176;2.43226229440743
Gesture7CH1;0.0365813370368128;0.0497161630447988;374.592891256963;1248;0.483194993778089
Gesture7CH2;0.035189568958265;0.0472041783187215;360.341186132633;1216;0.461166344376806
Gesture7CH14;0.0493624266873215;0.0668548472773705;505.471249278172;1241;0.666106314617427
Gesture8CH1;0.0256733035952176;0.0346016144708035;262.894628815028;1390;0.370040426298683
Gesture8CH2;0.0302806410134103;0.0406766891678938;310.073763977322;1267;0.413114736220238
Gesture8CH14;0.0862490094164979;0.122304482434407;883.189856424938;1206;1.4774247189391
Gesture9CH1;0.0242431272085321;0.0312610100070389;248.249622615368;1196;0.238977992706639
Gesture9CH2;0.0301906109945559;0.0388271874100253;309.151856584252;1056;0.314512345235598
Gesture9CH14;0.0489536093404574;0.0660675959644585;501.284959646284;1157;0.670304680348909
Gesture10CH1;0.0617255341849094;0.0842668490851565;632.069470053472;1339;0.858956463545043
Gesture10CH2;0.071427750660484;0.0979608491319701;731.420166763356;1200;1.02915770741088
Gesture10CH14;0.12280011448965;0.166416745380669;1257.47317237401;1244;1.91606449772437
Gesture11CH1;0.206711365138654;0.297880957837512;2116.72437901981;1235;2.87814543240363
Gesture11CH2;0.184111532026652;0.265749575445093;1885.30208795291;1263;2.6144223636635
Gesture11CH14;0.299816292285572;0.432017249246747;3070.11883300426;1345;4.75296725993648
Gesture12CH1;0.0351066499114652;0.0483697915253134;359.492095093404;1990;0.506241461384872
Gesture12CH2;0.0453368408480195;0.0631795196877606;464.24925028372;1748;0.686825820577162
Gesture12CH14;0.0443967880285126;0.0609931103828795;454.623109411969;1668;0.666039876996469
Gesture13CH1;0.0387362082291911;0.0575920721721635;396.658772266916;1904;0.865358763972785
Gesture13CH2;0.0371237937712713;0.0546291714407017;380.147648217818;1857;0.804626259522301
Gesture13CH14;0.0587619906625239;0.084354437324858;601.722784384244;1483;1.03684570361722
Gesture14CH1;0.0401635253402392;0.056990620553641;411.27449948405;1780;0.762394845070253
Gesture14CH2;0.0434377304974005;0.0627159400300073;444.802360293381;1699;0.91880077795021
Gesture14CH14;0.0606020345245998;0.0861534244010509;620.564833531902;1577;0.879187593580621
Gesture15CH1;0.0400669474015795;0.0526842651400393;410.285541392174;1432;0.503713377514408
Gesture15CH2;0.0393366356731137;0.0514939826111101;402.807149292684;1445;0.479079956383744
Gesture15CH14;0.0821859724183433;0.109876971692634;841.584357563835;1327;1.11211582828588
Gesture16CH1;0.0398390642576992;0.0561932446691855;407.95201799884;1340;0.622602960575548
Gesture16CH2;0.0447906143580467;0.0641411005885942;458.655891026398;1272;0.739554220936936
Gesture16CH14;0.0691105953102314;0.095065564069378;707.69249597677;1197;0.91407285639475
Gesture17CH1;0.00992487800635392;0.0125499476914046;101.630750785064;1267;0.102273762026788
Gesture17CH2;0.00949533072194003;0.0119875106352829;97.2321865926659;1350;0.102408831770822
Gesture17CH14;0.0116379756594554;0.0149081281765298;119.172870752824;1142;0.131536808914946
